public_law_number,bill_id,final_document_number,history_status,final_publication_date,final_effective_date,final_title,final_citation,agency_names,regulation_id_numbers,docket_ids,cfr_references,candidate_proposed_rule_count,matched_proposed_rule_count,proposed_document_numbers,proposed_publication_dates,proposed_titles,proposed_citations,proposed_comment_close_dates,proposed_comment_urls,proposed_regulations_docket_ids,proposed_regulations_comments_urls,shared_identifiers,days_from_earliest_proposed_to_final,source_urls,api_urls,evidence_layers,missing_links,claim_boundary
117-238,117-hr-7925,2023-24293,proposed_rule_history_match,2023-11-22,2024-01-01,"Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems; Quality Reporting Programs; Payment for Intensive Outpatient Services in Hospital Outpatient Departments, Community Mental Health Centers, Rural Health Clinics, Federally Qualified Health Centers, and Opioid Treatment Programs; Hospital Price Transparency; Changes to Community Mental Health Centers Conditions of Participation, Changes to the Inpatient Prospective Payment System Medicare Code Editor; Rural Emergency Hospital Conditions of Participation Technical Correction",88 FR 81540,Health and Human Services Department; Centers for Medicare & Medicaid Services; Office of the Secretary,0938-AV09,CMS-1786-FC,42 CFR 405; 42 CFR 410; 42 CFR 416; 42 CFR 419; 42 CFR 424; 42 CFR 485; 42 CFR 488; 42 CFR 489; 45 CFR 180,6,2,2023-14768; C1-2023-14768,2023-07-31; 2023-08-22,"Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems; Quality Reporting Programs; Payment for Intensive Outpatient Services in Rural Health Clinics, Federally Qualified Health Centers, and Opioid Treatment Programs; Hospital Price Transparency; Changes to Community Mental Health Centers Conditions of Participation, Proposed Changes to the Inpatient Prospective Payment System Medicare Code Editor; Rural Emergency Hospital Conditions of Participation Technical Correction",88 FR 49552; 88 FR 57029,2023-09-11,,HHS-OS-2024-0001,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=HHS-OS-2024-0001,RIN:0938-AV09,114,https://www.federalregister.gov/documents/2023/07/31/2023-14768/medicare-program-hospital-outpatient-prospective-payment-and-ambulatory-surgical-center-payment; https://www.federalregister.gov/documents/2023/08/22/C1-2023-14768/medicare-program-hospital-outpatient-prospective-payment-and-ambulatory-surgical-center-payment; https://www.federalregister.gov/documents/2023/11/22/2023-24293/medicare-program-hospital-outpatient-prospective-payment-and-ambulatory-surgical-center-payment,https://www.federalregister.gov/api/v1/documents/2023-14768.json; https://www.federalregister.gov/api/v1/documents/2023-24293.json; https://www.federalregister.gov/api/v1/documents/C1-2023-14768.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-238,117-hr-7925,2024-25521,proposed_rule_history_match,2024-11-27,2025-01-01,"Medicare and Medicaid Programs: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems; Quality Reporting Programs, Including the Hospital Inpatient Quality Reporting Program; Health and Safety Standards for Obstetrical Services in Hospitals and Critical Access Hospitals; Prior Authorization; Requests for Information; Medicaid and CHIP Continuous Eligibility; Medicaid Clinic Services Four Walls Exceptions; Individuals Currently or Formerly in Custody of Penal Authorities; Revision to Medicare Special Enrollment Period for Formerly Incarcerated Individuals; and All-Inclusive Rate Add-On Payment for High-Cost Drugs Provided by Indian Health Service and Tribal Facilities",89 FR 93912,Health and Human Services Department; Centers for Medicare & Medicaid Services,0938-AV35,CMS-1809-FC,42 CFR 406; 42 CFR 407; 42 CFR 410; 42 CFR 411; 42 CFR 416; 42 CFR 419; 42 CFR 435; 42 CFR 440; 42 CFR 457; 42 CFR 482; 42 CFR 485,3,1,2024-15087,2024-07-22,"Medicare and Medicaid Programs: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems; Quality Reporting Programs, Including the Hospital Inpatient Quality Reporting Program; Health and Safety Standards for Obstetrical Services in Hospitals and Critical Access Hospitals; Prior Authorization; Requests for Information; Medicaid and CHIP Continuous Eligibility; Medicaid Clinic Services Four Walls Exceptions; Individuals Currently or Formerly in Custody of Penal Authorities; Revision to Medicare Special Enrollment Period for Formerly Incarcerated Individuals; and All-Inclusive Rate Add-On Payment for High-Cost Drugs Provided by Indian Health Service and Tribal Facilities",89 FR 59186,2024-09-09,,HHS-OS-2024-0002,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=HHS-OS-2024-0002,RIN:0938-AV35,128,https://www.federalregister.gov/documents/2024/07/22/2024-15087/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2024/11/27/2024-25521/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical,https://www.federalregister.gov/api/v1/documents/2024-15087.json; https://www.federalregister.gov/api/v1/documents/2024-25521.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-263,117-hr-7776,2026-08148,no_proposed_rule_history_match,2026-04-27,2026-05-27,Security Review Committee,91 FR 22454,State Department,1400-AG28,Public Notice: 12976,22 CFR 7,3,0,,,,,,,,,,,https://www.federalregister.gov/documents/2026/04/27/2026-08148/security-review-committee,https://www.federalregister.gov/api/v1/documents/2026-08148.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-263,117-hr-7776,2026-11505,proposed_rule_history_match,2026-06-09,2026-07-09,"DoD Assistance to Non-Government, Entertainment-Oriented Media Productions",91 FR 34773,Defense Department; Office of the Secretary,0790-AL71,Docket ID: DoD-2024-OS-0006,32 CFR 238,1,1,2024-15091,2024-07-16,"DoD Assistance to Non-Government, Entertainment-Oriented Media Productions",89 FR 57810,2024-09-16,,DOD-2024-OS-0006,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=DOD-2024-OS-0006,DOCKET:IDDOD2024OS0006; RIN:0790-AL71,693,https://www.federalregister.gov/documents/2024/07/16/2024-15091/dod-assistance-to-non-government-entertainment-oriented-media-productions; https://www.federalregister.gov/documents/2026/06/09/2026-11505/dod-assistance-to-non-government-entertainment-oriented-media-productions,https://www.federalregister.gov/api/v1/documents/2024-15091.json; https://www.federalregister.gov/api/v1/documents/2026-11505.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-263,117-hr-7776,2024-11825,no_proposed_rule_history_match,2024-05-31,2024-05-31,Noncompetitive Appointment of Certain Military Spouses,89 FR 47067,Personnel Management Office,3206-AO57,Docket ID: OPM-2023-0026,5 CFR 315,1,0,,,,,,,,,,,https://www.federalregister.gov/documents/2024/05/31/2024-11825/noncompetitive-appointment-of-certain-military-spouses,https://www.federalregister.gov/api/v1/documents/2024-11825.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-263,117-hr-7776,2025-20727,no_proposed_rule_history_match,2025-11-24,2025-11-24,"Navigation and Navigable Waters, and Shipping; Technical, Organizational, and Conforming Amendments",90 FR 52867,Homeland Security Department; Coast Guard,,Docket No. USCG-2024-1103,33 CFR 1; 33 CFR 26; 33 CFR 62; 33 CFR 66; 33 CFR 67; 33 CFR 95; 33 CFR 97; 33 CFR 100; 33 CFR 107; 33 CFR 114; 33 CFR 115; 33 CFR 116; 33 CFR 117; 33 CFR 118; 33 CFR 133; 33 CFR 151; 33 CFR 155; 33 CFR 159; 33 CFR 164; 33 CFR 165; 33 CFR 174; 46 CFR 2; 46 CFR 3; 46 CFR 4; 46 CFR 7; 46 CFR 11; 46 CFR 15; 46 CFR 24; 46 CFR 26; 46 CFR 58; 46 CFR 62; 46 CFR 68; 46 CFR 90; 46 CFR 108; 46 CFR 110; 46 CFR 118; 46 CFR 125; 46 CFR 126; 46 CFR 131; 46 CFR 132; 46 CFR 133; 46 CFR 147; 46 CFR 169; 46 CFR 177; 46 CFR 181; 46 CFR 182; 46 CFR 188,0,0,,,,,,,,,,,https://www.federalregister.gov/documents/2025/11/24/2025-20727/navigation-and-navigable-waters-and-shipping-technical-organizational-and-conforming-amendments,https://www.federalregister.gov/api/v1/documents/2025-20727.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-263,117-hr-7776,2024-14121,no_proposed_rule_history_match,2024-06-28,2024-06-28,Civil Monetary Penalty Adjustments for Inflation,89 FR 53849,Homeland Security Department; U.S. Customs and Border Protection; Coast Guard; Transportation Security Administration,1601-AB11,,8 CFR 270; 8 CFR 274; 19 CFR 4; 33 CFR 27; 49 CFR 1503,0,0,,,,,,,,,,,https://www.federalregister.gov/documents/2024/06/28/2024-14121/civil-monetary-penalty-adjustments-for-inflation,https://www.federalregister.gov/api/v1/documents/2024-14121.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-263,117-hr-7776,2024-29227,proposed_rule_history_match,2024-12-18,2024-12-18,Defense Federal Acquisition Regulation Supplement: Task Order and Delivery Order Contracting for Architectural and Engineering Services (DFARS Case 2023-D007),89 FR 103366,Defense Department; Defense Acquisition Regulations System,0750-AL80,Docket DARS-2024-0023,48 CFR 216,1,1,2024-16335,2024-07-29,Defense Federal Acquisition Regulation Supplement: Task Order and Delivery Order Contracting for Architectural and Engineering Services (DFARS Case 2023-D007),89 FR 60853,2024-09-27,,DARS-2024-0023,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=DARS-2024-0023,DOCKET:DARS20240023; RIN:0750-AL80,142,https://www.federalregister.gov/documents/2024/07/29/2024-16335/defense-federal-acquisition-regulation-supplement-task-order-and-delivery-order-contracting-for; https://www.federalregister.gov/documents/2024/12/18/2024-29227/defense-federal-acquisition-regulation-supplement-task-order-and-delivery-order-contracting-for,https://www.federalregister.gov/api/v1/documents/2024-16335.json; https://www.federalregister.gov/api/v1/documents/2024-29227.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-269,117-hr-2472,2022-26358,no_proposed_rule_history_match,2022-12-07,2022-12-07,Tanker Security Program,87 FR 74977,Transportation Department; Maritime Administration,2133-AB95,Docket Number MARAD-2022-0247,46 CFR 294,0,0,,,,,,,,,,,https://www.federalregister.gov/documents/2022/12/07/2022-26358/tanker-security-program,https://www.federalregister.gov/api/v1/documents/2022-26358.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-297,117-hr-6604,2024-18345,proposed_rule_history_match,2024-08-19,2024-09-18,Bar to Approval,89 FR 66991,Veterans Affairs Department,2900-AQ99,,38 CFR 21,1,1,2023-03964,2023-02-27,Bar to Approval,88 FR 12293,2023-04-28,,VA-2023-VBA-0010,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=VA-2023-VBA-0010,RIN:2900-AQ99,539,https://www.federalregister.gov/documents/2023/02/27/2023-03964/bar-to-approval; https://www.federalregister.gov/documents/2024/08/19/2024-18345/bar-to-approval,https://www.federalregister.gov/api/v1/documents/2023-03964.json; https://www.federalregister.gov/api/v1/documents/2024-18345.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
