manual_packet_review_rank,packet_rank,packet_fingerprint,bill_id,public_law_number,policy_area,client_name,registrant_name,activity_issue,packet_review_status,direction_signal_summary,rows_represented,source_row_fingerprints,queue_review_ranks,position_or_activity_text_signals,support_text_signals,opposition_text_signals,manual_review_source,manual_activity_disposition_status,manual_activity_disposition,manual_activity_disposition_basis,manual_target_status,manual_target_type,manual_target_text,manual_target_basis,manual_outcome_link_status,manual_reviewer_note,bill_reference_context_samples,evidence_layers,missing_links,source_urls,claim_boundary
26,32,d9eacb3918273f18,117-hr-5376,117-169,Economics and Public Finance,"ALTRIA CLIENT SERVICES, LLC","RESOLUTION PUBLIC AFFAIRS, LLC",Taxation/Internal Revenue Code,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,52f90c49489b8705,57,regarding,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"Issues regarding corporate taxation, generally HR 5376, Build Back Better Act, regarding Federal Excise Tax on Tobacco",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/9810f98f-39e1-4877-81d1-ea7598f8a4b0/; https://lda.gov/filings/public/filing/9810f98f-39e1-4877-81d1-ea7598f8a4b0/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
27,34,0c548f3634a8d036,117-hr-5376,117-169,Economics and Public Finance,HCA,"THE SMITH-FREE GROUP, LLC",Education,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,0184c7bcdf8d7f16,60,monitoring; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_monitoring_or_analysis_only,current_bill_monitoring_or_analysis_without_direction,activity_text_uses_monitor_or_analysis_language_for_current_bill_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms monitoring or analysis of current-bill text without support or opposition.,"Monitored HR 5376 Build Back Better Act, provisions related to health care and pell grants",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/6aa81f96-8483-4f3d-89d5-18411937f550/; https://lda.gov/filings/public/filing/6aa81f96-8483-4f3d-89d5-18411937f550/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
28,35,9a08959d1cf60c17,117-hr-5376,117-169,Economics and Public Finance,"KOCH GOVERNMENT AFFAIRS, LLC","THE NICKLES GROUP, LLC",Taxation/Internal Revenue Code,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,480ab719eb2cdb73,61,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"...t, S. 3208 / H.R. 7061, Big Oil Windfall Profits Tax Act, and H.R. 7099, the Stop Gas Price Gouging Tax and Rebate Act, and issues related to taxation of energy sources. HR 5376, the Build Back Better Act, as it relates to business taxes. Issues related to IRS/free speech activities.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/9939d6d3-84b0-4d5a-ba9f-af8df33f48a2/; https://lda.gov/filings/public/filing/9939d6d3-84b0-4d5a-ba9f-af8df33f48a2/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
29,36,111601422122e167,117-hr-5376,117-169,Economics and Public Finance,LEADING BUILDERS OF AMERICA,KENNETH GEAR,Immigration,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,22a0e64381eda2e1,62,related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,No bill number: DACA program and low skilled guest worker visa program HR 5376 - provisions related to DACA and low skilled visa programs,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/dc2225f6-036b-479d-88a0-449bbbed2b97/; https://lda.gov/filings/public/filing/dc2225f6-036b-479d-88a0-449bbbed2b97/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
30,37,c2928544294322be,117-hr-5376,117-169,Economics and Public Finance,LEADING BUILDERS OF AMERICA,KENNETH GEAR,Taxation/Internal Revenue Code,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,643b4bd26c9d3480,63,related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"HR3684 President's Build Back Better Infrastructure plan - 45L energy tax provisions HR 5376 45L New Home energy tax credit, tax provisions related to pass through entities",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/dc2225f6-036b-479d-88a0-449bbbed2b97/; https://lda.gov/filings/public/filing/dc2225f6-036b-479d-88a0-449bbbed2b97/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
31,38,549385dc850f29bc,117-hr-5376,117-169,Economics and Public Finance,LEADING BUILDERS OF AMERICA,KENNETH GEAR,Energy/Nuclear,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,85fc7e499cb3f9d4,64,related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,No bill number: SAVE Act - energy efficient home appraisals HR 5376 45L tax credit for energy efficient homes No bill number: Energy Star Program Updates as they related to mandatory building envelope requirements,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/dc2225f6-036b-479d-88a0-449bbbed2b97/; https://lda.gov/filings/public/filing/dc2225f6-036b-479d-88a0-449bbbed2b97/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
32,39,d3886e069209ba15,117-hr-5376,117-169,Economics and Public Finance,MAINSPRING ENERGY,"RESOLUTION PUBLIC AFFAIRS, LLC",Taxation/Internal Revenue Code,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,194349d1b7170bc4,65,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"...Act. Issues related to linear generator parity S 1485 Linear Generator Parity Act of 2021 S 2118, Clean Energy for America Act. Issues related to linear generator parity HR 5376, Build Back Better Act. Issues related to linear generator parity",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/f39ffaee-908a-4971-b773-f46a185971ed/; https://lda.gov/filings/public/filing/f39ffaee-908a-4971-b773-f46a185971ed/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
33,40,80d930a5228c9744,117-hr-5376,117-169,Economics and Public Finance,"RENEWABLE ENERGY GROUP, INC.","ALPINE GROUP PARTNERS, LLC.",Taxation/Internal Revenue Code,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,467b5c268793f398,66,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"Issues related to the tax treatment of biodiesel and renewable diesel. GREEN Act of 2021 (H.R. 848). Clean Energy for American Act S. 2118 HR 5376, the Build Back Better Act",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/47090792-9ce7-476b-b30b-53f917fd8689/; https://lda.gov/filings/public/filing/47090792-9ce7-476b-b30b-53f917fd8689/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
34,41,542ddbbb97278f04,117-hr-6833,117-180,Economics and Public Finance,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,Health Issues,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,937362c049198a18,67,all_provisions,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_all_provisions_without_direction,current_bill_all_provisions_without_direction,activity_text_lists_current_bill_all_provisions_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet lists all provisions of the current bill without a stated direction.,"...itted by Centers for Disease Control and Prevention relating to ""Requirement for Persons To Wear Masks While on Conveyances and at Transportation Hubs,"""" all provisions. HR 6833 ""Affordable Insulin Now Act,"" all provisions.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/6833; https://lda.gov/api/v1/filings/5005c4a0-867e-4892-a6db-12bbd01fc428/; https://lda.gov/filings/public/filing/5005c4a0-867e-4892-a6db-12bbd01fc428/print/; https://www.congress.gov/bill/117th-congress/hr-bill/6833,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
35,42,02caac8ebd655035,117-hr-6833,117-180,Economics and Public Finance,SANOFI US SERVICES INC,SANOFI US SERVICES INC.,Health Issues,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,2,c620a037147f7424; de894a2ffcfd3b3f,68; 73,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"...lated to ""Give Kids a Chance Act"" in RACE 2.0; general issues related to HR 5376 ""Build Back Better Act""; issues related to Cosmetic Reform; issues related to S.3700 and HR 6833 ""Affordable Insulin Now Act""; issues related to s.2199 ""Insulin Price Reduction Act""; issues related to NSURE Rule; issues related to Prescription Drug User Fee Act Reau...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/6833; https://lda.gov/api/v1/filings/5be2948c-b666-48da-aaac-cd01d52a80ed/; https://lda.gov/api/v1/filings/8e3f4f33-4527-408f-8b9f-b8fd0ddafe04/; https://lda.gov/filings/public/filing/5be2948c-b666-48da-aaac-cd01d52a80ed/print/; https://lda.gov/filings/public/filing/8e3f4f33-4527-408f-8b9f-b8fd0ddafe04/print/; https://www.congress.gov/bill/117th-congress/hr-bill/6833,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
36,43,1ba92cb84c68431d,117-hr-6833,117-180,Economics and Public Finance,WALGREEN CO.,WEST FRONT STRATEGIES LLC,Pharmacy,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,3,b0d085cd54a13871; c3d98e464c1024fb; ef403313901ff3ec,69; 74; 80,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"...ams; issues related to pharmacy, pharmacist provider status, and Medicare reimbursement; issues related to insulin, including the Affordable Insulin Now Act (S. 3700 and HR 6833).",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/6833; https://lda.gov/api/v1/filings/3695a881-bed3-4958-b45a-03574108d98a/; https://lda.gov/api/v1/filings/bef2d238-2fe5-410a-849b-52b1e1f9a470/; https://lda.gov/api/v1/filings/dcd1dbc1-3c4a-41bf-b766-11543866a5d1/; https://lda.gov/filings/public/filing/3695a881-bed3-4958-b45a-03574108d98a/print/; https://lda.gov/filings/public/filing/bef2d238-2fe5-410a-849b-52b1e1f9a470/print/; https://lda.gov/filings/public/filing/dcd1dbc1-3c4a-41bf-b766-11543866a5d1/print/; https://www.congress.gov/bill/117th-congress/hr-bill/6833,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
37,44,6ed0f608b36a8dd2,117-hr-6833,117-180,Economics and Public Finance,AMERICAN MEDICAL ASSOCIATION,LOPER CONSULTING LLC,Medicare/Medicaid,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,8e554ae5bc886d19,70,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"Telehealth issues related to COVID-19; S. 368/H.R. 1332, Telehealth Modernization Act S.3799, PREVENT Pandemics Act; S. 3700/H.R. 6833, Affordable Insulin Now Act; Mental health legislative workstream. Issues related to reauthorization of the FDA user fee bills; HR 5376 Inflation Reduction Act",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/6833; https://lda.gov/api/v1/filings/f336e8a2-fb9d-4835-a0cf-eb99303fd47d/; https://lda.gov/filings/public/filing/f336e8a2-fb9d-4835-a0cf-eb99303fd47d/print/; https://www.congress.gov/bill/117th-congress/hr-bill/6833,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
38,45,e049b003991a4f02,117-hr-6833,117-180,Economics and Public Finance,PRIME THERAPEUTICS,PRIME THERAPEUTICS,Health Issues,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,98c5dfc8076e36df,71,related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"...rmaceuticals; H.R. 5376, Build Back Better Act, provisions relating to insulin cost-sharing; repeal of the rebate rule and audit/transparency provisions on PBMs; S. 3700/H.R. 6833, Affordable Insulin Now Act, provisions related to cost-sharing for insulin in Medicare and private plans and 116th Congress H.R. 2069; draft versions of the INSULIN Act...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/6833; https://lda.gov/api/v1/filings/ce521263-b03d-4e47-b079-474ea6ef21e1/; https://lda.gov/filings/public/filing/ce521263-b03d-4e47-b079-474ea6ef21e1/print/; https://www.congress.gov/bill/117th-congress/hr-bill/6833,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
39,46,d799ee97369456d5,117-hr-6833,117-180,Economics and Public Finance,PRIME THERAPEUTICS,PRIME THERAPEUTICS,Medicare/Medicaid,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,b8c16c023a414d16,72,related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"...elating to insulin cost-sharing; Medicaid and Medicare drug pricing; Medicare Part D reform, repeal of the rebate rule and audit/transparency provisions on PBMs; S. 3700/H.R. 6833, Affordable Insulin Now Act, provisions related to cost-sharing for insulin in Medicare and private plans and mental health issues as they relate to prescription drug pl...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/6833; https://lda.gov/api/v1/filings/ce521263-b03d-4e47-b079-474ea6ef21e1/; https://lda.gov/filings/public/filing/ce521263-b03d-4e47-b079-474ea6ef21e1/print/; https://www.congress.gov/bill/117th-congress/hr-bill/6833,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
40,47,efaf1cde566d3c72,117-hr-6833,117-180,Economics and Public Finance,COUNTY OF LOS ANGELES,"BECKY SHIPP CONSULTING, LLC",Government Issues,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,69ac635c0838fb53,75,monitoring,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_monitoring_or_analysis_only,current_bill_monitoring_or_analysis_without_direction,activity_text_uses_monitor_or_analysis_language_for_current_bill_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms monitoring or analysis of current-bill text without support or opposition.,"Monitored and provide analysis on the appropriations process, the WH anomies list and the legislative text of PL 117-180 (HR 6833 - Continuing Resolution)",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/6833; https://lda.gov/api/v1/filings/ca0365fe-6697-427a-8232-ffac7f015761/; https://lda.gov/filings/public/filing/ca0365fe-6697-427a-8232-ffac7f015761/print/; https://www.congress.gov/bill/117th-congress/hr-bill/6833,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
