bridge_rank,review_rank,target_review_packet_rank,bill_id,public_law_number,enacted_date,target_reference,target_reference_type,target_section_key,target_base_section_key,target_subsection,target_reference_key,normalized_title,normalized_section,target_is_note,review_status,source_reviewed_target_section_diff,codified_lineage_relationship,target_lifecycle_status,bridge_evidence_grade,authority_base_section_match,authority_base_section_citations,authority_exact_target_reference_match,authority_exact_target_reference_citations,public_law_authority_rule_rows,public_law_authority_text_verified_rows,public_law_authority_document_numbers,public_law_authority_usc_citation_count,implementation_history_final_rule_rows,implementation_history_matched_final_rule_rows,implementation_history_proposed_rule_links,implementation_history_proposed_document_numbers,implementation_comment_metadata_rows,implementation_comment_metadata_statuses,implementation_comment_metadata_final_comment_count_rows,implementation_comment_metadata_final_comment_count_total,implementation_comment_metadata_proposed_comment_url_count,implementation_comment_metadata_proposed_comment_urls,court_base_section_overlap,court_base_section_overlap_case_count,court_base_section_overlap_case_ids,court_base_section_overlap_usc_sections,court_exact_target_reference_overlap,court_exact_target_reference_case_count,court_exact_target_reference_case_ids,raw_scdb_target_base_section_overlap,raw_scdb_target_base_section_case_count,raw_scdb_target_base_section_case_ids,raw_scdb_target_base_section_usc_sections,raw_scdb_target_base_section_pre_enactment_case_count,raw_scdb_target_base_section_post_enactment_case_count,raw_scdb_target_base_section_missing_date_case_count,raw_scdb_target_base_section_decision_range,raw_scdb_target_reference_overlap,raw_scdb_target_reference_case_count,raw_scdb_target_reference_case_ids,raw_scdb_target_reference_post_enactment_case_count,public_law_court_overlap_case_count,public_law_court_overlap_case_ids,public_law_court_overlap_usc_sections,public_law_direct_review_rows,public_law_direct_review_direct_rows,public_law_direct_review_not_direct_rows,public_law_direct_review_determinations,spine_evidence_layers,evidence_layers,missing_links,claim_boundary
40,40,47,117-s-3373,117-168,2022-08-10,38 USC 1175,direct_us_code_reference,38 USC 1175,38 USC 1175,,38 USC 1175,38,1175,0,reviewed_added_target_section_diff,1,added_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,5,5,2023-25836; 2024-04202; 2023-18979; 2024-31220; 2023-24195,20,5,1,1,2023-05840,5,final_and_proposed_comment_metadata; final_comment_metadata_only,5,32,1,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=VA-2023-VBA-0014,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,1,2022-003,38 U.S.C. 5110,1,0,1,reviewed_not_direct_public_law_review,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; campaign_finance_sponsor_policy_area_context; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing; court_review_usc_section_authority_overlap; scdb_law_minor_usc_section,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; public_law_court_usc_section_overlap_context; court_public_law_direct_review_disposition; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
41,41,48,117-s-3373,117-168,2022-08-10,38 USC 1176,direct_us_code_reference,38 USC 1176,38 USC 1176,,38 USC 1176,38,1176,0,reviewed_added_target_section_diff,1,added_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,5,5,2023-25836; 2024-04202; 2023-18979; 2024-31220; 2023-24195,20,5,1,1,2023-05840,5,final_and_proposed_comment_metadata; final_comment_metadata_only,5,32,1,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=VA-2023-VBA-0014,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,1,2022-003,38 U.S.C. 5110,1,0,1,reviewed_not_direct_public_law_review,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; campaign_finance_sponsor_policy_area_context; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing; court_review_usc_section_authority_overlap; scdb_law_minor_usc_section,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; public_law_court_usc_section_overlap_context; court_public_law_direct_review_disposition; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
42,42,49,117-s-3373,117-168,2022-08-10,38 USC 1710(e)(3)(B),title_code_section_phrase,38 USC 1710,38 USC 1710,(e)(3)(B),38 USC 1710(e)(3)(B),38,1710,0,reviewed_pre_post_target_section_diff,1,amended_existing_target_section_with_effective_date_note,target_diff_with_authority_base_section_context,base_section_context,1,38 U.S.C. 1710(e)(1)(D; 38 U.S.C. 1710(e)(1)(G; 38 U.S.C. 1710(e)(1)(H; 38 U.S.C. 1710(e)(1)(I; 38 U.S.C. 1710(e)(4)(C; 38 U.S.C. 1710(e)(4)(C)(ii,0,,5,5,2023-25836; 2024-04202; 2023-18979; 2024-31220; 2023-24195,20,5,1,1,2023-05840,5,final_and_proposed_comment_metadata; final_comment_metadata_only,5,32,1,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=VA-2023-VBA-0014,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,1,2022-003,38 U.S.C. 5110,1,0,1,reviewed_not_direct_public_law_review,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; campaign_finance_sponsor_policy_area_context; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing; court_review_usc_section_authority_overlap; scdb_law_minor_usc_section,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; target_base_section_authority_usc_overlap; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; public_law_court_usc_section_overlap_context; court_public_law_direct_review_disposition; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
43,43,50,117-hr-4346,117-167,2022-08-09,15 USC 4652,direct_us_code_reference,15 USC 4652,15 USC 4652,,15 USC 4652,15,4652,0,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_exact_authority_target_reference_context,exact_target_reference_context,1,15 U.S.C. 4652; 15 U.S.C. 4652(a)(6)(A)(ii; 15 U.S.C. 4652(a)(6)(C; 15 U.S.C. 4652(a)(6)(C)(i; 15 U.S.C. 4652(a)(6)(C)(iii,1,15 U.S.C. 4652,6,6,2026-03307; 2024-25810; 2023-09999; 2024-23857; 2023-16009; 2024-30030,24,6,3,7,2022-14328; 2023-05871; 2023-07987; 2023-13247; 2023-18514; 2023-23616; 2023-26133,6,final_and_proposed_comment_metadata; final_comment_metadata_only,6,32431,4,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=FRA-2023-0021; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0012; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0042; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=NSF_FRDOC_0001,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,0,,,0,0,0,,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; target_base_section_authority_usc_overlap; target_reference_authority_usc_overlap; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
44,44,51,117-hr-4346,117-167,2022-08-09,15 USC 4651,direct_us_code_reference,15 USC 4651,15 USC 4651,,15 USC 4651,15,4651,0,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_exact_authority_target_reference_context,exact_target_reference_context,1,15 U.S.C. 4651,1,15 U.S.C. 4651,6,6,2026-03307; 2024-25810; 2023-09999; 2024-23857; 2023-16009; 2024-30030,24,6,3,7,2022-14328; 2023-05871; 2023-07987; 2023-13247; 2023-18514; 2023-23616; 2023-26133,6,final_and_proposed_comment_metadata; final_comment_metadata_only,6,32431,4,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=FRA-2023-0021; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0012; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0042; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=NSF_FRDOC_0001,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,0,,,0,0,0,,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; target_base_section_authority_usc_overlap; target_reference_authority_usc_overlap; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
45,45,52,117-hr-4346,117-167,2022-08-09,15 USC 4651 note,direct_us_code_reference,15 USC 4651 note,15 USC 4651 note,,15 USC 4651 note,15,4651,1,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,6,6,2026-03307; 2024-25810; 2023-09999; 2024-23857; 2023-16009; 2024-30030,24,6,3,7,2022-14328; 2023-05871; 2023-07987; 2023-13247; 2023-18514; 2023-23616; 2023-26133,6,final_and_proposed_comment_metadata; final_comment_metadata_only,6,32431,4,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=FRA-2023-0021; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0012; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0042; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=NSF_FRDOC_0001,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,0,,,0,0,0,,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
46,46,53,117-hr-4346,117-167,2022-08-09,15 USC 4652 note,direct_us_code_reference,15 USC 4652 note,15 USC 4652 note,,15 USC 4652 note,15,4652,1,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,6,6,2026-03307; 2024-25810; 2023-09999; 2024-23857; 2023-16009; 2024-30030,24,6,3,7,2022-14328; 2023-05871; 2023-07987; 2023-13247; 2023-18514; 2023-23616; 2023-26133,6,final_and_proposed_comment_metadata; final_comment_metadata_only,6,32431,4,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=FRA-2023-0021; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0012; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0042; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=NSF_FRDOC_0001,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,0,,,0,0,0,,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
47,47,55,117-hr-4346,117-167,2022-08-09,15 USC 4656,direct_us_code_reference,15 USC 4656,15 USC 4656,,15 USC 4656,15,4656,0,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,6,6,2026-03307; 2024-25810; 2023-09999; 2024-23857; 2023-16009; 2024-30030,24,6,3,7,2022-14328; 2023-05871; 2023-07987; 2023-13247; 2023-18514; 2023-23616; 2023-26133,6,final_and_proposed_comment_metadata; final_comment_metadata_only,6,32431,4,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=FRA-2023-0021; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0012; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0042; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=NSF_FRDOC_0001,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,0,,,0,0,0,,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
48,48,56,117-hr-4346,117-167,2022-08-09,15 USC 4656(c)(2),direct_us_code_reference,15 USC 4656,15 USC 4656,(c)(2),15 USC 4656(c)(2),15,4656,0,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,6,6,2026-03307; 2024-25810; 2023-09999; 2024-23857; 2023-16009; 2024-30030,24,6,3,7,2022-14328; 2023-05871; 2023-07987; 2023-13247; 2023-18514; 2023-23616; 2023-26133,6,final_and_proposed_comment_metadata; final_comment_metadata_only,6,32431,4,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=FRA-2023-0021; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0012; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0042; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=NSF_FRDOC_0001,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,0,,,0,0,0,,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
49,49,57,117-hr-4346,117-167,2022-08-09,2 USC 905(g)(1)(A),direct_us_code_reference,2 USC 905,2 USC 905,(g)(1)(A),2 USC 905(g)(1)(A),2,905,0,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,6,6,2026-03307; 2024-25810; 2023-09999; 2024-23857; 2023-16009; 2024-30030,24,6,3,7,2022-14328; 2023-05871; 2023-07987; 2023-13247; 2023-18514; 2023-23616; 2023-26133,6,final_and_proposed_comment_metadata; final_comment_metadata_only,6,32431,4,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=FRA-2023-0021; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0012; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=IRS-2023-0042; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=NSF_FRDOC_0001,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,0,,,0,0,0,,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
